Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
2008,69,Stony Brook University,Stony Brook,NY,0.4334,1181,15395,5810,12070,0.6136,15519,7440
2008,48,Texas A & M University-College Station,College Station,TX,0.7009,1189,20230,7844,22184,0.7825,37357,9609
2008,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7124,1164,25875,6250,19208,0.5979,21369,8693
2008,22,The University of Texas at Austin,Austin,TX,0.4353,1225,49950,8532,27760,0.7779,37459,12595
2008,53,Tufts University,Medford,MA,0.2547,1420,52080,38840,38840,0.9185,5035,3251
2008,77,Tulane University of Louisiana,New Orleans,LA,0.2698,1332,51478,38664,38664,0.7438,6449,2629
2008,61,University at Buffalo,Buffalo,NY,0.5166,1149,26742,6285,12545,0.6197,18779,7146
2008,14,University of California-Berkeley,Berkeley,CA,0.2322,1314,50974,7656,28264,0.8964,24636,9159
2008,32,University of California-Davis,Davis,CA,0.5861,1145,16052,8635,29243,0.8139,23478,4897
2008,40,University of California-Irvine,Irvine,CA,0.556,1160,25837,8046,28654,0.8102,21696,4471
2008,15,University of California-Los Angeles,Los Angeles,CA,0.2357,1275,24725,7551,27572,0.8921,25928,9663
2008,73,University of California-Riverside,Riverside,CA,0.8668,1028,17842,7845,28453,0.6428,14973,2317
2008,17,University of California-San Diego,La Jolla,CA,0.4224,1230,17671,8062,28673,0.8515,22048,4258
2008,35,University of California-Santa Barbara,Santa Barbara,CA,0.544,1179,24599,8386,28994,0.8148,18415,2976
2008,64,University of California-Santa Cruz,Santa Cruz,CA,0.8113,1127,23261,8200,28778,0.7152,14403,1490
2008,5,University of Chicago,Chicago,IL,0.2791,1397,52007,38492,38492,0.9181,4926,8658
2008,76,University of Colorado Boulder,Boulder,CO,0.7796,1180,18008,7278,26756,0.6654,26348,5047
2008,45,University of Colorado Boulder,Boulder,CO,0.7796,1180,20525,7278,26756,0.6654,26348,5047
2008,71,University of Connecticut,Storrs,CT,0.5449,1197,25546,9338,24050,0.7608,16348,6583
2008,84,University of Delaware,Newark,DE,0.58,1197,18858,8646,21126,0.729,16937,3448
2008,41,University of Florida,Gainesville,FL,0.4146,1262,20831,3778,20623,0.8164,35189,12669
2008,82,University of Georgia,Athens,GA,0.5478,1218,51054,6030,22342,0.7889,25335,7160
2008,24,University of Illinois at Urbana-Champaign,Champaign,IL,0.6903,1287,19841,12106,25890,0.8204,30895,10797
2008,83,University of Iowa,Iowa City,IA,0.8232,1168,23261,6544,20658,0.6605,20907,6305
2008,70,University of Kansas,Lawrence,KS,0.9216,1125,18482,7042,17119,0.5973,20828,6516
2008,34,University of Maryland-College Park,College Park,MD,0.3881,1275,17561,8005,23075,0.8176,25857,10410
2008,56,University of Massachusetts-Amherst,Amherst,MA,0.643,1151,42620,10232,21729,0.6819,20114,5820
2008,54,University of Miami,Coral Gables,FL,0.3863,1290,23433,34834,34834,0.7683,10379,4901
2008,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.4215,1308,50535,11037,33069,0.8803,26083,15034
2008,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.5253,1211,21248,10756,14756,0.6567,32294,14918
2008,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3484,1300,52150,5397,22295,0.8567,17628,8275
2008,50,University of Notre Dame,Notre Dame,IN,0.2673,1426,49708,36850,36850,0.9578,8371,2779
2008,93,University of Oklahoma-Norman Campus,Norman,OK,0.7326,1168,19618,7423,17404,0.6175,19512,6169
2008,10,University of Pennsylvania,Philadelphia,PA,0.1693,1418,48990,37526,37526,0.952,11877,9867
2008,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5558,1241,46521,13642,23290,0.7629,17208,10135
2008,43,University of Rochester,Rochester,NY,0.4115,1314,48217,37250,37250,0.837,5131,3930
2008,33,University of Southern California,Los Angeles,CA,0.2194,1367,26275,37693,37693,0.8794,16384,14457
2008,99,University of Vermont,Burlington,VT,0.6481,1184,22554,12844,29682,0.7117,10504,1410
2008,46,University of Virginia-Main Campus,Charlottesville,VA,0.3668,1328,49820,9300,29600,0.9307,15078,7608
2008,20,University of Wisconsin-Madison,Madison,WI,0.6283,1266,46175,7564,21814,0.8134,30166,11258
2008,47,Vanderbilt University,Nashville,TN,0.2533,1408,51740,37005,37005,0.8945,6532,4194
2008,74,Wake Forest University,Winston-Salem,NC,0.3838,1314,50550,36975,36975,0.8799,4412,1344
2008,75,Washington State University,Pullman,WA,0.7221,1105,19307,7564,18600,0.6687,20282,3396
2008,30,Washington University in St Louis,Saint Louis,MO,0.217,1453,52303,37248,37248,0.9368,7253,5051
2008,8,Yale University,New Haven,CT,0.0989,1481,51400,35300,35300,0.9738,5311,4915
2008,60,Yeshiva University,New York,NY,0.6651,1202,19538,32094,32094,0.8253,3017,1423
